Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
ADMC,Pico_Audio,0,Skipped,12.54
ADMC,Pico_Audio,1,Skipped,12.6
ADMC,Pico_Audio,2,Skipped,12.8
ADMC,Pico_Audio,3,Skipped,12.31
ADMC,Pico_Audio,4,Skipped,12.12
ADMC,Pico_Audio,5,Skipped,12.8
ADMC,Pico_Audio,6,Skipped,12.29
ADMC,Pico_Audio,7,Skipped,12.39
ADMC,Pico_Audio,8,Skipped,11.994
ADMC,Pico_Audio,9,Skipped,12.2
ADMC,Pico_Audio,10,Peak,7.926
ADMC,Pico_Audio,10,Peak,8.94
ADMC,Pico_Audio,10,Peak,8.214
ADMC,Pico_Audio,10,Peak,8.510
ADMC,Pico_Audio,10,Peak,8.726
ADMC,Pico_Audio,10,Peak,8.926
ADMC,Pico_Audio,10,Peak,9.46
ADMC,Pico_Audio,10,Peak,9.222
ADMC,Pico_Audio,11,dBInterruption,9.958
ADMC,Pico_Audio,11,dBInterruption,10.110
ADMC,Pico_Audio,11,dBInterruption,10.278
ADMC,Pico_Audio,11,dBInterruption,10.502
ADMC,Pico_Audio,11,dBInterruption,10.758
ADMC,Pico_Audio,11,dBInterruption,10.944
ADMC,Pico_Audio,11,dBInterruption,11.46
ADMC,Pico_Audio,12,dBInterruption,9.654
ADMC,Pico_Audio,12,dBInterruption,9.814
ADMC,Pico_Audio,12,dBInterruption,10.14
ADMC,Pico_Audio,12,dBInterruption,10.142
ADMC,Pico_Audio,12,dBInterruption,10.238
ADMC,Pico_Audio,12,dBInterruption,10.349
ADMC,Pico_Audio,12,dBInterruption,10.429
ADMC,Pico_Audio,13,Peak,9.660
ADMC,Pico_Audio,13,Peak,9.828
ADMC,Pico_Audio,13,Peak,10.35
ADMC,Pico_Audio,13,Peak,10.196
ADMC,Pico_Audio,13,Peak,10.380
ADMC,Pico_Audio,13,Peak,10.571
ADMC,Pico_Audio,13,Peak,10.756
ADMC,Pico_Audio,13,Peak,10.852
ADMC,Pico_Audio,14,Peak,8.383
ADMC,Pico_Audio,14,Peak,8.550
ADMC,Pico_Audio,14,Peak,8.790
ADMC,Pico_Audio,14,Peak,8.870
ADMC,Pico_Audio,14,Peak,9.78
ADMC,Pico_Audio,14,Peak,9.310
ADMC,Pico_Audio,14,Peak,9.382
ADMC,Pico_Audio,14,Peak,9.542
ADMC,Pico_Audio,15,Gap,9.550
ADMC,Pico_Audio,15,Gap,9.702
ADMC,Pico_Audio,15,Gap,9.870
ADMC,Pico_Audio,15,Gap,10.14
ADMC,Pico_Audio,15,Gap,10.118
ADMC,Pico_Audio,15,Gap,10.222
ADMC,Pico_Audio,15,Gap,10.326
ADMC,Pico_Audio,16,Peak,8.734
ADMC,Pico_Audio,16,Peak,8.878
ADMC,Pico_Audio,16,Peak,9.150
ADMC,Pico_Audio,16,Peak,9.230
ADMC,Pico_Audio,16,Peak,9.354
ADMC,Pico_Audio,16,Peak,9.438
ADMC,Pico_Audio,16,Peak,9.542
ADMC,Pico_Audio,16,Peak,9.630
ADMC,Pico_Audio,16,Peak,9.710
ADMC,Pico_Audio,17,Peak,8.654
