Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
ARZ,Pico_Audio,0,Skipped,12.4
ARZ,Pico_Audio,1,Skipped,12.2
ARZ,Pico_Audio,2,Skipped,12.27
ARZ,Pico_Audio,3,Skipped,12.37
ARZ,Pico_Audio,4,Skipped,12.5
ARZ,Pico_Audio,5,Skipped,12.17
ARZ,Pico_Audio,6,Skipped,12.9
ARZ,Pico_Audio,7,Skipped,12.4
ARZ,Pico_Audio,8,Skipped,12.13
ARZ,Pico_Audio,9,Training,7.262
ARZ,Pico_Audio,9,Training,7.763
ARZ,Pico_Audio,9,Training,7.793
ARZ,Pico_Audio,9,Training,8.14
ARZ,Pico_Audio,9,Training,8.278
ARZ,Pico_Audio,10,Peak,12.788
ARZ,Pico_Audio,10,Peak,12.972
ARZ,Pico_Audio,10,Peak,13.204
ARZ,Pico_Audio,10,Peak,14.484
ARZ,Pico_Audio,10,Peak,14.772
ARZ,Pico_Audio,10,Peak,15.27
ARZ,Pico_Audio,10,Peak,15.228
ARZ,Pico_Audio,10,Peak,15.395
ARZ,Pico_Audio,11,dBInterruption,8.60
ARZ,Pico_Audio,11,dBInterruption,8.324
ARZ,Pico_Audio,11,dBInterruption,8.468
ARZ,Pico_Audio,11,dBInterruption,8.668
ARZ,Pico_Audio,11,dBInterruption,8.900
ARZ,Pico_Audio,12,Peak,9.62
ARZ,Pico_Audio,12,Peak,9.614
ARZ,Pico_Audio,12,Peak,9.894
ARZ,Pico_Audio,12,Peak,10.158
ARZ,Pico_Audio,12,Peak,10.366
ARZ,Pico_Audio,13,dBInterruption,12.164
ARZ,Pico_Audio,13,dBInterruption,12.380
ARZ,Pico_Audio,13,dBInterruption,12.532
ARZ,Pico_Audio,13,dBInterruption,12.684
ARZ,Pico_Audio,13,dBInterruption,12.821
ARZ,Pico_Audio,14,Peak,11.342
ARZ,Pico_Audio,14,Peak,11.622
ARZ,Pico_Audio,14,Peak,11.838
ARZ,Pico_Audio,14,Peak,12.86
ARZ,Pico_Audio,14,Peak,12.358
ARZ,Pico_Audio,15,Peak,12.700
ARZ,Pico_Audio,15,Peak,12.916
ARZ,Pico_Audio,15,Peak,13.136
ARZ,Pico_Audio,15,Peak,13.292
ARZ,Pico_Audio,15,Peak,13.476
ARZ,Pico_Audio,16,dBInterruption,12.566
ARZ,Pico_Audio,16,dBInterruption,12.798
ARZ,Pico_Audio,16,dBInterruption,12.982
ARZ,Pico_Audio,16,dBInterruption,13.134
ARZ,Pico_Audio,16,dBInterruption,13.814
ARZ,Pico_Audio,16,dBInterruption,13.973
ARZ,Pico_Audio,16,dBInterruption,14.86
ARZ,Pico_Audio,16,dBInterruption,14.262
ARZ,Pico_Audio,16,dBInterruption,14.486
ARZ,Pico_Audio,16,Wait,22.438
ARZ,Pico_Audio,17,Peak,10.788
ARZ,Pico_Audio,17,Peak,11.4
ARZ,Pico_Audio,17,Peak,11.372
ARZ,Pico_Audio,17,Peak,11.595
ARZ,Pico_Audio,17,Peak,12.596
ARZ,Pico_Audio,17,Peak,12.827
ARZ,Pico_Audio,17,Peak,12.947
ARZ,Pico_Audio,17,Peak,13.108
ARZ,Pico_Audio,17,Peak,13.324
