Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
FLDI,Pico_Audio,0,Skipped,12.35
FLDI,Pico_Audio,1,Skipped,12.38
FLDI,Pico_Audio,2,Skipped,11.998
FLDI,Pico_Audio,3,Skipped,12.14
FLDI,Pico_Audio,4,Skipped,12.18
FLDI,Pico_Audio,5,Skipped,12.32
FLDI,Pico_Audio,6,Skipped,12.29
FLDI,Pico_Audio,7,Skipped,12.18
FLDI,Pico_Audio,8,Skipped,12.20
FLDI,Pico_Audio,9,Skipped,12.39
FLDI,Pico_Audio,10,Gap,7.300
FLDI,Pico_Audio,10,Gap,7.535
FLDI,Pico_Audio,10,Gap,7.691
FLDI,Pico_Audio,10,Gap,7.860
FLDI,Pico_Audio,10,Gap,8.28
FLDI,Pico_Audio,10,Gap,8.195
FLDI,Pico_Audio,10,Gap,8.363
FLDI,Pico_Audio,10,Gap,8.571
FLDI,Pico_Audio,12,Skipped,12.13
FLDI,Pico_Audio,13,Peak,9.430
FLDI,Pico_Audio,13,Peak,9.566
FLDI,Pico_Audio,13,Peak,9.694
FLDI,Pico_Audio,13,Peak,9.878
FLDI,Pico_Audio,13,Peak,10.46
FLDI,Pico_Audio,13,Peak,10.222
FLDI,Pico_Audio,13,Peak,10.390
FLDI,Pico_Audio,14,Peak,9.492
FLDI,Pico_Audio,14,Peak,9.668
FLDI,Pico_Audio,14,Peak,9.827
FLDI,Pico_Audio,14,Peak,10.20
FLDI,Pico_Audio,14,Peak,10.236
FLDI,Pico_Audio,14,Peak,10.387
FLDI,Pico_Audio,15,Peak,9.663
FLDI,Pico_Audio,15,Peak,9.831
FLDI,Pico_Audio,15,Peak,9.982
FLDI,Pico_Audio,15,Peak,10.111
FLDI,Pico_Audio,15,Peak,10.263
FLDI,Pico_Audio,15,Peak,10.422
FLDI,Pico_Audio,15,Peak,10.574
FLDI,Pico_Audio,15,Peak,10.711
FLDI,Pico_Audio,16,Peak,9.876
FLDI,Pico_Audio,16,Peak,10.60
FLDI,Pico_Audio,16,Peak,10.236
FLDI,Pico_Audio,16,Peak,10.436
FLDI,Pico_Audio,16,Peak,10.635
FLDI,Pico_Audio,16,Peak,10.836
FLDI,Pico_Audio,17,Peak,10.486
FLDI,Pico_Audio,17,Peak,10.654
FLDI,Pico_Audio,17,Peak,10.790
FLDI,Pico_Audio,17,Peak,10.950
FLDI,Pico_Audio,17,Peak,11.134
FLDI,Pico_Audio,17,Peak,11.342
FLDI,Pico_Audio,17,Peak,11.494
FLDI,Pico_Audio,18,Gap,8.942
FLDI,Pico_Audio,18,Gap,9.95
FLDI,Pico_Audio,18,Gap,9.254
FLDI,Pico_Audio,18,Gap,9.414
FLDI,Pico_Audio,18,Gap,9.574
FLDI,Pico_Audio,18,Gap,9.718
FLDI,Pico_Audio,19,Peak,10.924
FLDI,Pico_Audio,19,Peak,11.76
FLDI,Pico_Audio,19,Peak,11.220
FLDI,Pico_Audio,19,Peak,11.380
FLDI,Pico_Audio,19,Peak,11.540
