Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
SCRO,Pico_Audio,0,Skipped,12.24
SCRO,Pico_Audio,1,Skipped,12.26
SCRO,Pico_Audio,2,Skipped,12.29
SCRO,Pico_Audio,3,Skipped,12.9
SCRO,Pico_Audio,4,Skipped,12.28
SCRO,Pico_Audio,5,Skipped,12.16
SCRO,Pico_Audio,6,Skipped,12.12
SCRO,Pico_Audio,6,Wait,18.540
SCRO,Pico_Audio,8,Skipped,12.31
SCRO,Pico_Audio,9,Skipped,12.41
SCRO,Pico_Audio,10,Peak,8.341
SCRO,Pico_Audio,10,Peak,8.534
SCRO,Pico_Audio,10,Peak,8.725
SCRO,Pico_Audio,10,Peak,8.918
SCRO,Pico_Audio,10,Peak,9.781
SCRO,Pico_Audio,11,Peak,10.272
SCRO,Pico_Audio,11,Peak,10.453
SCRO,Pico_Audio,11,Peak,10.644
SCRO,Pico_Audio,11,Peak,10.829
SCRO,Pico_Audio,11,Peak,11.4
SCRO,Pico_Audio,11,Peak,11.188
SCRO,Pico_Audio,13,Peak,11.741
SCRO,Pico_Audio,13,Peak,11.917
SCRO,Pico_Audio,13,Peak,12.102
SCRO,Pico_Audio,13,Peak,12.277
SCRO,Pico_Audio,13,Peak,12.438
SCRO,Pico_Audio,14,Peak,12.266
SCRO,Pico_Audio,14,Peak,12.442
SCRO,Pico_Audio,14,Peak,12.618
SCRO,Pico_Audio,14,Peak,12.802
SCRO,Pico_Audio,14,Peak,12.970
SCRO,Pico_Audio,14,Peak,13.154
SCRO,Pico_Audio,15,dBInterruption,8.340
SCRO,Pico_Audio,15,dBInterruption,8.484
SCRO,Pico_Audio,15,dBInterruption,8.668
SCRO,Pico_Audio,15,dBInterruption,8.812
SCRO,Pico_Audio,15,dBInterruption,10.572
SCRO,Pico_Audio,15,dBInterruption,10.908
SCRO,Pico_Audio,15,dBInterruption,11.132
SCRO,Pico_Audio,15,dBInterruption,11.332
SCRO,Pico_Audio,16,Gap,11.108
SCRO,Pico_Audio,16,Gap,11.316
SCRO,Pico_Audio,16,Gap,11.524
SCRO,Pico_Audio,16,Gap,11.692
SCRO,Pico_Audio,16,Gap,11.836
SCRO,Pico_Audio,18,Peak,9.181
SCRO,Pico_Audio,18,Peak,9.382
SCRO,Pico_Audio,18,Peak,9.565
SCRO,Pico_Audio,18,Peak,9.742
SCRO,Pico_Audio,18,Peak,9.902
SCRO,Pico_Audio,19,Peak,9.380
SCRO,Pico_Audio,19,Peak,9.564
SCRO,Pico_Audio,19,Peak,9.740
SCRO,Pico_Audio,19,Peak,9.916
SCRO,Pico_Audio,19,Peak,11.316
SCRO,Pico_Audio,20,dBInterruption,8.540
SCRO,Pico_Audio,20,dBInterruption,8.716
SCRO,Pico_Audio,20,dBInterruption,8.908
SCRO,Pico_Audio,20,dBInterruption,9.124
SCRO,Pico_Audio,20,dBInterruption,10.484
SCRO,Pico_Audio,21,Peak,10.710
SCRO,Pico_Audio,21,Peak,10.895
SCRO,Pico_Audio,21,Peak,11.87
SCRO,Pico_Audio,21,Peak,11.278
SCRO,Pico_Audio,21,Peak,11.487
SCRO,Pico_Audio,22,Gap,12.757
SCRO,Pico_Audio,22,Gap,12.934
SCRO,Pico_Audio,22,Gap,13.133
SCRO,Pico_Audio,22,Gap,13.318
SCRO,Pico_Audio,22,Gap,13.494
SCRO,Pico_Audio,23,Peak,13.318
SCRO,Pico_Audio,23,Peak,13.494
SCRO,Pico_Audio,23,Peak,13.686
SCRO,Pico_Audio,23,Peak,13.870
SCRO,Pico_Audio,23,Peak,14.46
SCRO,Pico_Audio,24,dBInterruption,14.301
SCRO,Pico_Audio,24,dBInterruption,14.484
SCRO,Pico_Audio,24,dBInterruption,14.669
SCRO,Pico_Audio,24,dBInterruption,14.853
SCRO,Pico_Audio,24,dBInterruption,15.36
SCRO,Pico_Audio,24,dBInterruption,15.197
SCRO,Pico_Audio,25,Peak,12.438
SCRO,Pico_Audio,25,Peak,12.629
SCRO,Pico_Audio,25,Peak,12.814
SCRO,Pico_Audio,25,Peak,12.989
SCRO,Pico_Audio,25,Peak,13.165
SCRO,Pico_Audio,26,dBInterruption,12.719
SCRO,Pico_Audio,26,dBInterruption,12.918
SCRO,Pico_Audio,26,dBInterruption,13.103
SCRO,Pico_Audio,26,dBInterruption,13.286
SCRO,Pico_Audio,26,dBInterruption,13.462
SCRO,Pico_Audio,27,Peak,10.315
SCRO,Pico_Audio,27,Peak,10.508
SCRO,Pico_Audio,27,Peak,10.700
SCRO,Pico_Audio,27,Peak,10.891
SCRO,Pico_Audio,27,Peak,11.84
SCRO,Pico_Audio,28,Peak,10.276
SCRO,Pico_Audio,28,Peak,10.476
SCRO,Pico_Audio,28,Peak,10.644
SCRO,Pico_Audio,28,Peak,10.828
SCRO,Pico_Audio,28,Peak,11.12
SCRO,Pico_Audio,28,Peak,11.180
SCRO,Pico_Audio,29,Peak,11.958
SCRO,Pico_Audio,29,Peak,12.126
SCRO,Pico_Audio,29,Peak,12.318
SCRO,Pico_Audio,29,Peak,12.494
SCRO,Pico_Audio,29,Peak,12.670
SCRO,Pico_Audio,29,Peak,12.822
SCRO,Pico_Audio,30,Peak,10.422
SCRO,Pico_Audio,30,Peak,10.622
SCRO,Pico_Audio,30,Peak,10.797
SCRO,Pico_Audio,30,Peak,10.966
SCRO,Pico_Audio,30,Peak,11.126
SCRO,Pico_Audio,30,Peak,11.294
SCRO,Pico_Audio,31,Peak,8.725
SCRO,Pico_Audio,31,Peak,8.900
SCRO,Pico_Audio,31,Peak,9.77
SCRO,Pico_Audio,31,Peak,9.268
SCRO,Pico_Audio,31,Peak,9.428
SCRO,Pico_Audio,32,Peak,7.732
SCRO,Pico_Audio,32,Peak,7.932
SCRO,Pico_Audio,32,Peak,8.124
SCRO,Pico_Audio,32,Peak,8.308
SCRO,Pico_Audio,32,Peak,8.492
SCRO,Pico_Audio,33,Peak,11.820
SCRO,Pico_Audio,33,Peak,11.980
SCRO,Pico_Audio,33,Peak,12.164
SCRO,Pico_Audio,33,Peak,12.324
SCRO,Pico_Audio,33,Peak,12.428
SCRO,Pico_Audio,34,Gap,10.988
SCRO,Pico_Audio,34,Gap,11.189
SCRO,Pico_Audio,34,Gap,11.388
SCRO,Pico_Audio,34,Gap,11.581
SCRO,Pico_Audio,34,Gap,11.740
SCRO,Pico_Audio,35,Gap,10.660
SCRO,Pico_Audio,35,Gap,10.860
SCRO,Pico_Audio,35,Gap,11.36
SCRO,Pico_Audio,35,Gap,11.228
SCRO,Pico_Audio,35,Gap,11.404
SCRO,Pico_Audio,35,Gap,11.572
SCRO,Pico_Audio,36,dBInterruption,11.70
SCRO,Pico_Audio,36,dBInterruption,11.262
SCRO,Pico_Audio,36,dBInterruption,11.454
SCRO,Pico_Audio,36,dBInterruption,11.638
SCRO,Pico_Audio,36,dBInterruption,11.774
SCRO,Pico_Audio,37,Peak,10.462
SCRO,Pico_Audio,37,Peak,10.710
SCRO,Pico_Audio,37,Peak,10.894
SCRO,Pico_Audio,37,Peak,11.38
SCRO,Pico_Audio,37,Peak,11.230
SCRO,Pico_Audio,37,Peak,11.974
SCRO,Pico_Audio,38,Peak,8.989
SCRO,Pico_Audio,38,Peak,9.164
SCRO,Pico_Audio,38,Peak,9.340
SCRO,Pico_Audio,38,Peak,9.509
SCRO,Pico_Audio,38,Peak,11.389
SCRO,Pico_Audio,39,Peak,10.788
SCRO,Pico_Audio,39,Peak,10.972
SCRO,Pico_Audio,39,Peak,11.148
SCRO,Pico_Audio,39,Peak,11.332
SCRO,Pico_Audio,39,Peak,11.500
SCRO,Pico_Audio,39,Peak,11.692
SCRO,Pico_Audio,40,Peak,10.662
SCRO,Pico_Audio,40,Peak,10.846
SCRO,Pico_Audio,40,Peak,11.46
SCRO,Pico_Audio,40,Peak,11.238
SCRO,Pico_Audio,40,Peak,11.430
SCRO,Pico_Audio,40,Peak,11.622
SCRO,Pico_Audio,41,dBInterruption,10.14
SCRO,Pico_Audio,41,dBInterruption,10.198
SCRO,Pico_Audio,41,dBInterruption,10.358
SCRO,Pico_Audio,41,dBInterruption,10.510
SCRO,Pico_Audio,41,dBInterruption,10.654
SCRO,Pico_Audio,42,Peak,1.5
SCRO,Pico_Audio,42,Peak,12.397
SCRO,Pico_Audio,42,Peak,12.582
SCRO,Pico_Audio,42,Peak,12.765
SCRO,Pico_Audio,42,Peak,12.941
SCRO,Pico_Audio,42,Peak,13.126
SCRO,Pico_Audio,42,Peak,13.310
SCRO,Pico_Audio,42,Peak,13.501
SCRO,Pico_Audio,44,Peak,9.773
SCRO,Pico_Audio,44,Peak,9.948
SCRO,Pico_Audio,44,Peak,10.109
SCRO,Pico_Audio,44,Peak,10.268
SCRO,Pico_Audio,44,Peak,10.428
SCRO,Pico_Audio,44,Peak,10.581
SCRO,Pico_Audio,45,Gap,10.85
SCRO,Pico_Audio,45,Gap,10.270
SCRO,Pico_Audio,45,Gap,10.477
SCRO,Pico_Audio,45,Gap,10.670
SCRO,Pico_Audio,45,Gap,10.845
