Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
DFLGC,Pico_Audio,11,Peak,9.758
DFLGC,Pico_Audio,11,Peak,9.942
DFLGC,Pico_Audio,11,Peak,10.110
DFLGC,Pico_Audio,11,Peak,10.286
DFLGC,Pico_Audio,11,Peak,10.446
DFLGC,Pico_Audio,12,Peak,9.894
DFLGC,Pico_Audio,12,Peak,10.77
DFLGC,Pico_Audio,12,Peak,10.246
DFLGC,Pico_Audio,12,Peak,10.405
DFLGC,Pico_Audio,12,Peak,10.565
DFLGC,Pico_Audio,13,Peak,9.637
DFLGC,Pico_Audio,13,Peak,9.813
DFLGC,Pico_Audio,13,Peak,9.981
DFLGC,Pico_Audio,13,Peak,10.149
DFLGC,Pico_Audio,13,Peak,10.309
DFLGC,Pico_Audio,14,Peak,9.157
DFLGC,Pico_Audio,14,Peak,9.332
DFLGC,Pico_Audio,14,Peak,9.508
DFLGC,Pico_Audio,14,Peak,9.669
DFLGC,Pico_Audio,14,Peak,9.820
DFLGC,Pico_Audio,16,Peak,10.188
DFLGC,Pico_Audio,16,Peak,10.348
DFLGC,Pico_Audio,16,Peak,10.516
DFLGC,Pico_Audio,16,Peak,10.668
DFLGC,Pico_Audio,16,Peak,10.828
DFLGC,Pico_Audio,18,Gap,9.886
DFLGC,Pico_Audio,18,Gap,10.45
DFLGC,Pico_Audio,18,Gap,10.270
DFLGC,Pico_Audio,18,Gap,10.405
DFLGC,Pico_Audio,18,Gap,10.574
DFLGC,Pico_Audio,20,Peak,9.758
DFLGC,Pico_Audio,20,Peak,9.917
DFLGC,Pico_Audio,20,Peak,10.110
DFLGC,Pico_Audio,20,Peak,10.278
DFLGC,Pico_Audio,20,Peak,10.421
DFLGC,Pico_Audio,21,Peak,9.414
DFLGC,Pico_Audio,21,Peak,9.622
DFLGC,Pico_Audio,21,Peak,9.782
DFLGC,Pico_Audio,21,Peak,9.958
DFLGC,Pico_Audio,21,Peak,10.118
DFLGC,Pico_Audio,22,Peak,9.828
DFLGC,Pico_Audio,22,Peak,10.36
DFLGC,Pico_Audio,22,Peak,10.228
DFLGC,Pico_Audio,22,Peak,10.420
DFLGC,Pico_Audio,22,Peak,10.572
DFLGC,Pico_Audio,23,Peak,10.405
DFLGC,Pico_Audio,23,Peak,10.573
DFLGC,Pico_Audio,23,Peak,10.757
DFLGC,Pico_Audio,23,Peak,10.933
DFLGC,Pico_Audio,23,Peak,11.93
DFLGC,Pico_Audio,25,Peak,9.22
DFLGC,Pico_Audio,25,Peak,9.229
DFLGC,Pico_Audio,25,Peak,9.422
DFLGC,Pico_Audio,25,Peak,9.622
DFLGC,Pico_Audio,25,Peak,9.790
DFLGC,Pico_Audio,26,Gap,10.92
DFLGC,Pico_Audio,26,Gap,10.316
DFLGC,Pico_Audio,26,Gap,10.524
DFLGC,Pico_Audio,26,Gap,10.724
DFLGC,Pico_Audio,26,Gap,10.924
DFLGC,Pico_Audio,28,dBInterruption,9.884
DFLGC,Pico_Audio,28,dBInterruption,10.92
DFLGC,Pico_Audio,28,dBInterruption,10.300
DFLGC,Pico_Audio,28,dBInterruption,10.514
DFLGC,Pico_Audio,28,dBInterruption,10.700
DFLGC,Pico_Audio,29,Peak,11.982
DFLGC,Pico_Audio,29,Peak,12.142
DFLGC,Pico_Audio,29,Peak,12.278
DFLGC,Pico_Audio,29,Peak,12.414
DFLGC,Pico_Audio,29,Peak,12.550
DFLGC,Pico_Audio,32,dBInterruption,10.797
DFLGC,Pico_Audio,32,dBInterruption,11.21
DFLGC,Pico_Audio,32,dBInterruption,11.237
DFLGC,Pico_Audio,32,dBInterruption,11.389
DFLGC,Pico_Audio,32,dBInterruption,11.565
DFLGC,Pico_Audio,33,Gap,9.542
DFLGC,Pico_Audio,33,Gap,9.718
DFLGC,Pico_Audio,33,Gap,9.886
DFLGC,Pico_Audio,33,Gap,10.62
DFLGC,Pico_Audio,33,Gap,10.238
DFLGC,Pico_Audio,34,Peak,11.374
DFLGC,Pico_Audio,34,Peak,11.526
DFLGC,Pico_Audio,34,Peak,11.686
DFLGC,Pico_Audio,34,Peak,11.846
DFLGC,Pico_Audio,34,Peak,11.998
DFLGC,Pico_Audio,34,Peak,12.118
DFLGC,Pico_Audio,35,Gap,10.590
DFLGC,Pico_Audio,35,Gap,10.814
DFLGC,Pico_Audio,35,Gap,10.998
DFLGC,Pico_Audio,35,Gap,11.158
DFLGC,Pico_Audio,35,Gap,11.310
DFLGC,Pico_Audio,35,Gap,11.438
DFLGC,Pico_Audio,36,dBInterruption,9.926
