Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
SGEM,Pico_Audio,10,Peak,9.190
SGEM,Pico_Audio,10,Peak,9.374
SGEM,Pico_Audio,10,Peak,9.534
SGEM,Pico_Audio,10,Peak,9.670
SGEM,Pico_Audio,10,Peak,10.302
SGEM,Pico_Audio,11,Peak,9.69
SGEM,Pico_Audio,11,Peak,9.245
SGEM,Pico_Audio,11,Peak,9.413
SGEM,Pico_Audio,11,Peak,9.597
SGEM,Pico_Audio,11,Peak,9.733
SGEM,Pico_Audio,14,Peak,8.172
SGEM,Pico_Audio,14,Peak,8.348
SGEM,Pico_Audio,14,Peak,8.532
SGEM,Pico_Audio,14,Peak,8.724
SGEM,Pico_Audio,14,Peak,8.908
SGEM,Pico_Audio,14,Peak,9.76
SGEM,Pico_Audio,15,Peak,9.78
SGEM,Pico_Audio,15,Peak,9.262
SGEM,Pico_Audio,15,Peak,9.438
SGEM,Pico_Audio,15,Peak,9.614
SGEM,Pico_Audio,15,Peak,9.806
SGEM,Pico_Audio,15,Peak,9.974
SGEM,Pico_Audio,16,Peak,9.214
SGEM,Pico_Audio,16,Peak,9.366
SGEM,Pico_Audio,16,Peak,9.534
SGEM,Pico_Audio,16,Peak,9.686
SGEM,Pico_Audio,16,Peak,9.838
SGEM,Pico_Audio,17,Peak,8.206
SGEM,Pico_Audio,17,Peak,8.381
SGEM,Pico_Audio,17,Peak,8.558
SGEM,Pico_Audio,17,Peak,8.742
SGEM,Pico_Audio,17,Peak,8.910
SGEM,Pico_Audio,17,Peak,9.118
SGEM,Pico_Audio,18,Gap,8.870
SGEM,Pico_Audio,18,Gap,9.70
SGEM,Pico_Audio,18,Gap,9.254
SGEM,Pico_Audio,18,Gap,9.446
SGEM,Pico_Audio,18,Gap,9.630
SGEM,Pico_Audio,19,Peak,9.20
SGEM,Pico_Audio,19,Peak,9.188
SGEM,Pico_Audio,19,Peak,9.364
SGEM,Pico_Audio,19,Peak,9.508
SGEM,Pico_Audio,19,Peak,9.644
SGEM,Pico_Audio,20,Gap,8.989
SGEM,Pico_Audio,20,Gap,9.174
SGEM,Pico_Audio,20,Gap,9.342
SGEM,Pico_Audio,20,Gap,9.501
SGEM,Pico_Audio,20,Gap,10.134
SGEM,Pico_Audio,21,Peak,9.28
SGEM,Pico_Audio,21,Peak,9.212
SGEM,Pico_Audio,21,Peak,9.388
SGEM,Pico_Audio,21,Peak,9.580
SGEM,Pico_Audio,21,Peak,9.740
SGEM,Pico_Audio,22,Peak,9.78
SGEM,Pico_Audio,22,Peak,9.278
SGEM,Pico_Audio,22,Peak,9.478
SGEM,Pico_Audio,22,Peak,9.638
SGEM,Pico_Audio,22,Peak,10.238
SGEM,Pico_Audio,25,Gap,9.140
SGEM,Pico_Audio,25,Gap,9.180
SGEM,Pico_Audio,25,Gap,9.260
SGEM,Pico_Audio,25,Gap,9.300
SGEM,Pico_Audio,25,Gap,10.188
SGEM,Pico_Audio,27,Gap,9.156
SGEM,Pico_Audio,27,Gap,9.332
SGEM,Pico_Audio,27,Gap,9.516
SGEM,Pico_Audio,27,Gap,9.684
SGEM,Pico_Audio,27,Gap,9.852
SGEM,Pico_Audio,28,dBInterruption,10.534
SGEM,Pico_Audio,28,dBInterruption,10.718
SGEM,Pico_Audio,28,dBInterruption,10.902
SGEM,Pico_Audio,28,dBInterruption,11.78
SGEM,Pico_Audio,28,dBInterruption,11.614
SGEM,Pico_Audio,30,Peak,9.358
SGEM,Pico_Audio,30,Peak,9.534
SGEM,Pico_Audio,30,Peak,9.710
SGEM,Pico_Audio,30,Peak,9.878
SGEM,Pico_Audio,30,Peak,10.342
SGEM,Pico_Audio,31,Peak,8.996
SGEM,Pico_Audio,31,Peak,9.156
SGEM,Pico_Audio,31,Peak,9.332
SGEM,Pico_Audio,31,Peak,9.500
SGEM,Pico_Audio,31,Peak,9.676
SGEM,Pico_Audio,31,Wait,10.164
SGEM,Pico_Audio,33,Peak,9.422
SGEM,Pico_Audio,33,Peak,9.606
SGEM,Pico_Audio,33,Peak,9.766
SGEM,Pico_Audio,33,Peak,9.934
SGEM,Pico_Audio,33,Peak,10.78
SGEM,Pico_Audio,34,Peak,9.262
SGEM,Pico_Audio,34,Peak,9.438
SGEM,Pico_Audio,34,Peak,9.662
SGEM,Pico_Audio,34,Peak,9.838
SGEM,Pico_Audio,34,Peak,10.22
SGEM,Pico_Audio,34,Peak,10.166
SGEM,Pico_Audio,35,Peak,10.102
SGEM,Pico_Audio,35,Peak,10.301
SGEM,Pico_Audio,35,Peak,10.470
SGEM,Pico_Audio,35,Peak,10.638
SGEM,Pico_Audio,35,Peak,10.829
SGEM,Pico_Audio,35,Peak,11.22
SGEM,Pico_Audio,36,Peak,8.744
SGEM,Pico_Audio,36,Peak,8.928
SGEM,Pico_Audio,36,Peak,9.104
SGEM,Pico_Audio,36,Peak,9.280
SGEM,Pico_Audio,36,Peak,9.416
SGEM,Pico_Audio,36,Peak,9.592
SGEM,Pico_Audio,37,Peak,9.62
SGEM,Pico_Audio,37,Peak,9.230
SGEM,Pico_Audio,37,Peak,9.374
SGEM,Pico_Audio,37,Peak,9.550
SGEM,Pico_Audio,37,Peak,10.77
SGEM,Pico_Audio,39,Gap,8.988
SGEM,Pico_Audio,39,Gap,9.188
SGEM,Pico_Audio,39,Gap,9.372
SGEM,Pico_Audio,39,Gap,9.554
SGEM,Pico_Audio,39,Gap,9.692
SGEM,Pico_Audio,40,Peak,7.974
SGEM,Pico_Audio,40,Peak,8.158
SGEM,Pico_Audio,40,Peak,8.326
SGEM,Pico_Audio,40,Peak,8.486
SGEM,Pico_Audio,40,Peak,8.654
SGEM,Pico_Audio,41,Peak,9.639
SGEM,Pico_Audio,41,Peak,9.814
SGEM,Pico_Audio,41,Peak,9.990
SGEM,Pico_Audio,41,Peak,10.159
SGEM,Pico_Audio,41,Peak,10.318
SGEM,Pico_Audio,42,Peak,10.590
SGEM,Pico_Audio,42,Peak,10.774
SGEM,Pico_Audio,42,Peak,10.942
SGEM,Pico_Audio,42,Peak,11.110
SGEM,Pico_Audio,42,Peak,11.278
SGEM,Pico_Audio,44,Peak,7.814
SGEM,Pico_Audio,44,Peak,7.998
SGEM,Pico_Audio,44,Peak,8.166
SGEM,Pico_Audio,44,Peak,8.334
SGEM,Pico_Audio,44,Peak,8.486
SGEM,Pico_Audio,45,Peak,9.220
SGEM,Pico_Audio,45,Peak,9.404
SGEM,Pico_Audio,45,Peak,9.580
SGEM,Pico_Audio,45,Peak,9.732
SGEM,Pico_Audio,45,Peak,10.300
SGEM,Pico_Audio,46,Peak,7.722
SGEM,Pico_Audio,46,Peak,7.899
SGEM,Pico_Audio,46,Peak,8.82
SGEM,Pico_Audio,46,Peak,8.251
SGEM,Pico_Audio,46,Peak,8.402
SGEM,Pico_Audio,47,Peak,9.502
SGEM,Pico_Audio,47,Peak,9.686
SGEM,Pico_Audio,47,Peak,9.854
SGEM,Pico_Audio,47,Peak,10.38
SGEM,Pico_Audio,47,Peak,10.182
SGEM,Pico_Audio,48,Peak,8.462
SGEM,Pico_Audio,48,Peak,8.678
SGEM,Pico_Audio,48,Peak,8.894
SGEM,Pico_Audio,48,Peak,9.77
SGEM,Pico_Audio,48,Peak,9.270
SGEM,Pico_Audio,50,dBInterruption,8.932
SGEM,Pico_Audio,50,dBInterruption,9.132
SGEM,Pico_Audio,50,dBInterruption,9.300
SGEM,Pico_Audio,50,dBInterruption,9.484
SGEM,Pico_Audio,50,dBInterruption,9.636
SGEM,Pico_Audio,51,Peak,8.318
SGEM,Pico_Audio,51,Peak,8.526
SGEM,Pico_Audio,51,Peak,8.750
SGEM,Pico_Audio,51,Peak,8.958
SGEM,Pico_Audio,51,Peak,9.150
SGEM,Pico_Audio,52,Gap,8.886
SGEM,Pico_Audio,52,Gap,9.78
SGEM,Pico_Audio,52,Gap,9.246
SGEM,Pico_Audio,52,Gap,9.438
SGEM,Pico_Audio,52,Gap,9.590
SGEM,Pico_Audio,53,Peak,8.38
SGEM,Pico_Audio,53,Peak,8.229
SGEM,Pico_Audio,53,Peak,8.398
SGEM,Pico_Audio,53,Peak,8.582
SGEM,Pico_Audio,53,Peak,9.110
SGEM,Pico_Audio,54,Peak,8.772
SGEM,Pico_Audio,54,Peak,8.932
SGEM,Pico_Audio,54,Peak,9.84
SGEM,Pico_Audio,54,Peak,9.228
SGEM,Pico_Audio,54,Peak,9.732
SGEM,Pico_Audio,55,Peak,9.396
SGEM,Pico_Audio,55,Peak,9.580
SGEM,Pico_Audio,55,Peak,9.748
SGEM,Pico_Audio,55,Peak,9.932
SGEM,Pico_Audio,55,Peak,10.100
SGEM,Pico_Audio,56,Peak,9.638
SGEM,Pico_Audio,56,Peak,9.797
SGEM,Pico_Audio,56,Peak,9.998
SGEM,Pico_Audio,56,Peak,10.150
SGEM,Pico_Audio,56,Peak,10.334
SGEM,Pico_Audio,57,Peak,8.117
SGEM,Pico_Audio,57,Peak,8.317
SGEM,Pico_Audio,57,Peak,8.527
SGEM,Pico_Audio,57,Peak,8.717
SGEM,Pico_Audio,57,Peak,9.237
SGEM,Pico_Audio,58,Peak,8.390
