Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
DAML,Pico,0,Training,20.217
DAML,Pico,0,Training,20.360
DAML,Pico,0,Training,20.696
DAML,Pico,0,Training,20.840
DAML,Pico,0,Training,20.976
DAML,Pico,0,Training,21.104
DAML,Pico,0,Training,10.717
DAML,Pico,3,Training,4.886
DAML,Pico,3,Training,5.598
DAML,Pico,3,Training,6.6
DAML,Pico,3,Training,6.286
DAML,Pico,3,Training,6.525
DAML,Pico,3,Training,6.750
DAML,Pico,3,Training,6.982
DAML,Pico,3,Training,7.198
DAML,Pico,3,Training,7.838
DAML,Pico,3,Training,8.62
DAML,Pico,3,Training,8.294
DAML,Pico,3,Training,8.478
DAML,Pico,3,Training,8.662
DAML,Pico,3,Training,8.870
DAML,Pico,3,Training,9.590
DAML,Pico,3,Training,9.790
DAML,Pico,3,Training,9.990
DAML,Pico,3,Training,10.189
DAML,Pico,3,Training,10.462
DAML,Pico,4,Training,1.540
DAML,Pico,4,Training,1.748
DAML,Pico,4,Training,1.940
DAML,Pico,4,Training,2.140
DAML,Pico,4,Training,2.356
DAML,Pico,4,Training,2.580
DAML,Pico,4,Training,2.844
DAML,Pico,4,Training,3.68
DAML,Pico,4,Training,3.300
DAML,Pico,4,Training,3.940
DAML,Pico,4,Training,4.124
DAML,Pico,4,Training,4.316
DAML,Pico,4,Training,4.524
DAML,Pico,4,Training,4.716
DAML,Pico,4,Training,4.908
DAML,Pico,4,Training,5.76
DAML,Pico,4,Training,6.76
DAML,Pico,4,Training,6.276
DAML,Pico,4,Training,6.404
DAML,Pico,4,Training,6.588
DAML,Pico,4,Training,6.772
DAML,Pico,4,Training,6.964
DAML,Pico,4,Training,7.132
DAML,Pico,4,Training,7.300
DAML,Pico,4,Training,7.484
DAML,Pico,4,Training,7.676
DAML,Pico,4,Training,8.652
DAML,Pico,4,Training,8.844
DAML,Pico,4,Training,9.20
DAML,Pico,4,Training,9.212
DAML,Pico,4,Training,9.396
DAML,Pico,4,Training,9.596
DAML,Pico,4,Training,9.788
DAML,Pico,4,Training,9.996
DAML,Pico,5,Training,1.68
DAML,Pico,5,Training,1.596
DAML,Pico,5,Training,1.780
DAML,Pico,5,Training,1.932
DAML,Pico,5,Training,2.108
DAML,Pico,5,Training,2.260
DAML,Pico,5,Training,2.436
DAML,Pico,5,Training,2.588
DAML,Pico,5,Training,2.748
DAML,Pico,5,Training,3.228
DAML,Pico,5,Training,3.372
DAML,Pico,5,Training,3.564
DAML,Pico,5,Training,3.716
DAML,Pico,5,Training,3.884
DAML,Pico,5,Training,4.36
DAML,Pico,5,Training,4.204
DAML,Pico,5,Training,5.516
DAML,Pico,5,Training,5.684
DAML,Pico,5,Training,5.836
DAML,Pico,5,Training,5.996
DAML,Pico,5,Training,6.156
DAML,Pico,5,Training,6.324
DAML,Pico,5,Training,6.476
DAML,Pico,5,Training,7.468
DAML,Pico,5,Training,7.620
DAML,Pico,5,Training,7.804
DAML,Pico,5,Training,7.948
DAML,Pico,5,Training,8.116
DAML,Pico,5,Training,8.284
DAML,Pico,5,Training,8.444
DAML,Pico,5,Training,8.588
DAML,Pico,5,Training,9.164
DAML,Pico,5,Training,9.324
DAML,Pico,5,Training,9.476
DAML,Pico,5,Training,9.636
DAML,Pico,5,Training,9.812
DAML,Pico,5,Training,9.972
DAML,Pico,5,Training,10.140
DAML,Pico,5,Training,10.314
DAML,Pico,5,Training,10.468
DAML,Pico,6,Training,3.340
DAML,Pico,6,Training,3.556
DAML,Pico,6,Training,3.732
DAML,Pico,6,Training,3.892
DAML,Pico,6,Training,4.68
DAML,Pico,6,Training,4.252
DAML,Pico,6,Training,4.404
DAML,Pico,6,Training,5.116
DAML,Pico,6,Training,5.292
DAML,Pico,6,Training,5.444
DAML,Pico,6,Training,5.604
DAML,Pico,6,Training,5.772
DAML,Pico,6,Training,5.908
DAML,Pico,6,Training,7.388
DAML,Pico,6,Training,7.540
DAML,Pico,6,Training,7.684
DAML,Pico,6,Training,7.836
DAML,Pico,6,Training,7.972
DAML,Pico,6,Training,8.108
DAML,Pico,6,Training,8.252
DAML,Pico,6,Training,9.756
DAML,Pico,6,Training,9.900
DAML,Pico,6,Training,10.44
DAML,Pico,6,Training,10.188
DAML,Pico,6,Training,10.332
DAML,Pico,7,Training,2.381
DAML,Pico,7,Training,2.565
DAML,Pico,7,Training,2.693
DAML,Pico,7,Training,2.853
DAML,Pico,7,Training,2.997
DAML,Pico,7,Training,3.149
DAML,Pico,7,Training,3.317
DAML,Pico,7,Training,3.477
DAML,Pico,7,Training,3.653
DAML,Pico,7,Training,3.781
DAML,Pico,7,Training,4.797
DAML,Pico,7,Training,4.973
DAML,Pico,7,Training,5.133
DAML,Pico,7,Training,5.293
DAML,Pico,7,Training,5.453
DAML,Pico,7,Training,5.621
DAML,Pico,7,Training,5.821
DAML,Pico,7,Training,6.837
DAML,Pico,7,Training,7.29
DAML,Pico,7,Training,7.165
DAML,Pico,7,Training,7.341
DAML,Pico,7,Training,7.501
DAML,Pico,7,Training,7.677
DAML,Pico,7,Training,7.853
DAML,Pico,7,Training,8.13
DAML,Pico,7,Training,8.165
DAML,Pico,7,Training,9.13
DAML,Pico,7,Training,9.205
DAML,Pico,7,Training,9.365
DAML,Pico,7,Training,9.533
DAML,Pico,7,Training,9.709
DAML,Pico,7,Training,9.877
DAML,Pico,7,Training,10.21
DAML,Pico,7,Training,10.181
DAML,Pico,8,Training,7.659
DAML,Pico,8,Training,7.835
DAML,Pico,8,Training,8.3
DAML,Pico,8,Training,8.179
DAML,Pico,8,Training,8.331
DAML,Pico,8,Training,8.507
DAML,Pico,8,Training,8.683
DAML,Pico,8,Training,8.859
DAML,Pico,8,Training,9.27
DAML,Pico,8,Training,10.115
DAML,Pico,8,Training,10.299
DAML,Pico,8,Training,10.475
DAML,Pico,8,Training,10.643
DAML,Pico,9,Training,2.542
DAML,Pico,9,Training,2.702
DAML,Pico,9,Training,2.862
DAML,Pico,9,Training,3.30
DAML,Pico,9,Training,3.190
DAML,Pico,9,Training,3.358
DAML,Pico,9,Training,3.557
DAML,Pico,9,Training,4.110
DAML,Pico,9,Training,4.278
DAML,Pico,9,Training,4.445
DAML,Pico,9,Training,4.638
DAML,Pico,9,Training,4.805
DAML,Pico,9,Training,4.990
DAML,Pico,9,Training,5.174
DAML,Pico,9,Training,5.350
DAML,Pico,9,Training,5.518
DAML,Pico,9,Training,5.678
DAML,Pico,9,Training,7.350
