Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
DAML,Training,0,Training,18.364
DAML,Training,0,Training,18.731
DAML,Training,0,Training,19.90
DAML,Training,0,Training,19.474
DAML,Training,1,Training,6.477
DAML,Training,1,Training,8.397
DAML,Training,1,Training,10.453
DAML,Training,1,Wait,12.253
DAML,Training,2,Training,3.46
DAML,Training,2,Training,6.198
DAML,Training,2,Training,7.110
DAML,Training,2,Training,7.574
DAML,Training,2,Training,9.102
DAML,Training,2,Training,9.382
DAML,Training,2,Training,9.662
DAML,Training,2,Training,9.878
DAML,Training,3,Training,3.350
DAML,Training,3,Training,3.805
DAML,Training,3,Training,4.93
DAML,Training,3,Training,4.350
DAML,Training,3,Training,4.933
DAML,Training,3,Training,6.950
DAML,Training,3,Training,8.78
DAML,Training,3,Training,9.950
DAML,Training,3,Wait,12.158
DAML,Training,5,Training,2.821
DAML,Training,5,Training,4.525
DAML,Training,5,Training,6.85
DAML,Training,5,Training,8.229
DAML,Training,5,Training,10.157
DAML,Training,5,Wait,12.61
DAML,Training,6,Training,1.606
DAML,Training,6,Training,2.86
DAML,Training,6,Training,2.286
DAML,Training,6,Training,2.878
DAML,Training,6,Training,4.62
DAML,Training,6,Training,5.278
DAML,Training,6,Training,7.78
DAML,Training,6,Training,8.886
DAML,Training,6,Training,11.278
DAML,Training,7,Training,2.149
DAML,Training,7,Training,4.541
DAML,Training,7,Training,6.477
DAML,Training,7,Training,8.533
DAML,Training,7,Training,9.877
DAML,Training,8,Training,2.294
DAML,Training,8,Training,3.933
DAML,Training,8,Training,5.29
DAML,Training,8,Training,6.941
DAML,Training,8,Training,8.158
DAML,Training,8,Training,9.94
DAML,Training,9,Training,2.222
DAML,Training,9,Training,4.198
DAML,Training,9,Training,6.470
DAML,Training,9,Training,8.774
DAML,Training,10,Training,2.382
DAML,Training,10,Training,4.134
DAML,Training,10,Training,5.998
DAML,Training,10,Training,7.638
DAML,Training,10,Training,9.646
DAML,Training,10,Wait,23.582
DAML,Training,11,Training,1.398
DAML,Training,11,Training,2.902
DAML,Training,11,Training,4.670
DAML,Training,11,Training,6.758
DAML,Training,11,Training,9.133
DAML,Training,12,Training,2.414
DAML,Training,12,Training,3.934
DAML,Training,12,Training,6.278
DAML,Training,12,Training,8.246
DAML,Training,12,Training,10.134
DAML,Training,13,Training,2.805
DAML,Training,13,Training,4.133
DAML,Training,13,Training,5.357
DAML,Training,13,Training,6.869
DAML,Training,13,Training,9.181
DAML,Training,14,Training,1.350
DAML,Training,14,Training,3.717
DAML,Training,14,Training,5.709
DAML,Training,14,Training,7.582
DAML,Training,14,Training,8.701
DAML,Training,14,Training,10.374
DAML,Training,15,Training,2.462
DAML,Training,15,Training,4.294
DAML,Training,15,Training,6.294
DAML,Training,15,Training,8.198
DAML,Training,15,Training,10.69
DAML,Training,16,Training,2.494
DAML,Training,16,Training,4.534
DAML,Training,16,Training,6.446
DAML,Training,16,Training,8.382
DAML,Training,16,Training,10.198
DAML,Training,17,Training,2.484
DAML,Training,17,Training,4.124
DAML,Training,17,Training,6.172
DAML,Training,17,Training,7.772
DAML,Training,17,Training,9.692
DAML,Training,18,Training,2.212
DAML,Training,18,Training,3.508
DAML,Training,18,Training,5.116
DAML,Training,18,Training,7.52
