Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
DFLGC,Pico,0,Training,9.566
DFLGC,Pico,0,Training,9.717
DFLGC,Pico,0,Training,9.909
DFLGC,Pico,0,Training,10.93
DFLGC,Pico,0,Training,10.269
DFLGC,Pico,11,Peak,21.420
DFLGC,Pico,11,Peak,22.76
DFLGC,Pico,11,Peak,22.364
DFLGC,Pico,11,Peak,22.484
DFLGC,Pico,11,Peak,22.660
DFLGC,Pico,11,Peak,22.820
DFLGC,Pico,12,Peak,11.130
DFLGC,Pico,12,Peak,11.330
DFLGC,Pico,12,Peak,11.490
DFLGC,Pico,12,Peak,11.642
DFLGC,Pico,12,Peak,12.306
DFLGC,Pico,13,Training,8.980
DFLGC,Pico,13,Training,9.180
DFLGC,Pico,13,Training,9.380
DFLGC,Pico,13,Training,9.580
DFLGC,Pico,13,Training,9.788
DFLGC,Pico,14,Peak,8.340
DFLGC,Pico,14,Peak,8.564
DFLGC,Pico,14,Peak,8.748
DFLGC,Pico,14,Peak,8.940
DFLGC,Pico,14,Peak,9.164
DFLGC,Pico,15,Peak,8.694
DFLGC,Pico,15,Peak,8.870
DFLGC,Pico,15,Peak,9.54
DFLGC,Pico,15,Peak,9.222
DFLGC,Pico,15,Peak,9.358
DFLGC,Pico,16,Training,8.78
DFLGC,Pico,16,Training,8.238
DFLGC,Pico,16,Training,8.414
DFLGC,Pico,16,Training,8.590
DFLGC,Pico,16,Training,9.206
DFLGC,Pico,16,Training,10.486
DFLGC,Pico,18,Peak,12.212
DFLGC,Pico,18,Peak,12.380
DFLGC,Pico,18,Peak,12.548
DFLGC,Pico,18,Peak,12.716
DFLGC,Pico,18,Peak,12.892
DFLGC,Pico,18,Peak,13.44
DFLGC,Pico,19,Peak,9.484
DFLGC,Pico,19,Peak,9.644
DFLGC,Pico,19,Peak,9.812
DFLGC,Pico,19,Peak,9.964
DFLGC,Pico,19,Peak,10.108
DFLGC,Pico,20,Peak,8.516
DFLGC,Pico,20,Peak,8.676
DFLGC,Pico,20,Peak,8.828
