Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
KASC,Pico,11,Peak,28.60
KASC,Pico,11,Peak,37.228
KASC,Pico,11,Peak,37.404
KASC,Pico,11,Peak,37.596
KASC,Pico,11,Peak,37.756
KASC,Pico,11,Peak,37.924
KASC,Pico,11,Peak,5.484
KASC,Pico,11,Peak,5.684
KASC,Pico,11,Peak,5.861
KASC,Pico,11,Peak,6.36
KASC,Pico,11,Peak,6.180
KASC,Pico,11,Peak,6.332
KASC,Pico,12,Peak,13.478
KASC,Pico,12,Peak,13.678
KASC,Pico,12,Peak,13.854
KASC,Pico,12,Peak,14.14
KASC,Pico,12,Peak,14.206
KASC,Pico,12,Peak,14.358
KASC,Pico,12,Peak,14.542
KASC,Pico,12,Peak,14.726
KASC,Pico,12,Peak,14.894
KASC,Pico,12,Peak,15.62
KASC,Pico,12,Peak,18.398
KASC,Pico,12,Peak,18.566
KASC,Pico,12,Peak,18.718
KASC,Pico,13,Peak,17.118
KASC,Pico,13,Peak,17.302
KASC,Pico,13,Peak,17.445
KASC,Pico,13,Peak,17.622
KASC,Pico,13,Peak,17.789
KASC,Pico,13,Peak,18.14
KASC,Pico,14,Training,10.460
KASC,Pico,14,Training,10.940
KASC,Pico,14,Training,11.124
KASC,Pico,14,Wait,12.172
KASC,Pico,15,Peak,10.732
KASC,Pico,15,Peak,10.940
KASC,Pico,15,Peak,11.108
KASC,Pico,15,Peak,11.292
KASC,Pico,15,Peak,11.452
KASC,Pico,15,Peak,11.620
KASC,Pico,16,Peak,13.950
KASC,Pico,16,Peak,14.189
KASC,Pico,16,Peak,14.397
KASC,Pico,16,Peak,14.605
KASC,Pico,16,Peak,14.805
KASC,Pico,17,Peak,12.60
KASC,Pico,17,Peak,12.300
KASC,Pico,17,Peak,12.500
KASC,Pico,17,Peak,12.708
KASC,Pico,17,Peak,12.948
KASC,Pico,18,Peak,10.206
KASC,Pico,18,Peak,10.485
KASC,Pico,18,Peak,10.718
KASC,Pico,18,Peak,10.926
KASC,Pico,18,Peak,11.134
KASC,Pico,18,Peak,11.342
KASC,Pico,19,Training,10.661
KASC,Pico,20,Peak,10.414
KASC,Pico,20,Peak,10.662
KASC,Pico,20,Peak,10.862
KASC,Pico,20,Peak,11.62
KASC,Pico,20,Peak,11.254
KASC,Pico,20,Peak,11.462
KASC,Pico,21,Peak,11.228
KASC,Pico,21,Peak,11.476
KASC,Pico,21,Peak,11.700
KASC,Pico,21,Peak,11.932
KASC,Pico,21,Peak,12.156
KASC,Pico,21,Peak,12.484
KASC,Pico,22,Training,10.500
KASC,Pico,23,Training,10.46
KASC,Pico,23,Training,10.374
KASC,Pico,24,Peak,12.140
KASC,Pico,24,Peak,12.364
KASC,Pico,24,Peak,12.580
KASC,Pico,24,Peak,12.788
KASC,Pico,24,Peak,12.988
KASC,Pico,25,Training,8.923
KASC,Pico,25,Training,9.107
KASC,Pico,25,Training,9.283
KASC,Pico,25,Training,9.484
KASC,Pico,25,Training,9.683
KASC,Pico,25,Training,9.883
KASC,Pico,25,Training,10.107
KASC,Pico,26,Training,10.598
KASC,Pico,27,Peak,11.460
KASC,Pico,27,Peak,11.675
KASC,Pico,27,Peak,11.875
KASC,Pico,27,Peak,12.83
KASC,Pico,27,Peak,12.283
KASC,Pico,27,Peak,12.452
KASC,Pico,28,Training,9.422
KASC,Pico,28,Training,9.669
KASC,Pico,28,Training,9.893
KASC,Pico,28,Training,10.85
KASC,Pico,28,Training,10.309
KASC,Pico,29,Peak,8.404
KASC,Pico,29,Peak,8.772
KASC,Pico,29,Peak,9.44
KASC,Pico,29,Peak,9.292
KASC,Pico,29,Peak,9.516
KASC,Pico,30,Peak,9.812
KASC,Pico,30,Peak,10.68
KASC,Pico,30,Peak,10.276
KASC,Pico,30,Peak,10.484
KASC,Pico,30,Peak,11.60
KASC,Pico,31,Peak,9.228
