Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
NJMH,Training,0,Training,5.216
NJMH,Training,0,Training,7.927
NJMH,Training,0,Training,8.480
NJMH,Training,0,Training,9.40
NJMH,Training,0,Training,9.624
NJMH,Training,0,Training,11.616
NJMH,Training,0,Wait,12.167
NJMH,Training,1,Training,1.552
NJMH,Training,1,Training,2.50
NJMH,Training,1,Training,2.80
NJMH,Training,1,Training,2.128
NJMH,Training,1,Training,2.159
NJMH,Training,1,Training,2.191
NJMH,Training,1,Training,2.222
NJMH,Training,1,Training,2.254
NJMH,Training,1,Training,2.285
NJMH,Training,1,Training,2.316
NJMH,Training,1,Training,2.347
NJMH,Training,1,Training,2.379
NJMH,Training,1,Training,2.426
NJMH,Training,1,Training,2.457
NJMH,Training,1,Training,2.489
NJMH,Training,1,Training,2.520
NJMH,Training,1,Training,2.552
NJMH,Training,1,Training,2.583
NJMH,Training,1,Training,2.614
NJMH,Training,1,Training,2.645
NJMH,Training,1,Training,2.677
NJMH,Training,1,Training,2.708
NJMH,Training,1,Training,2.755
NJMH,Training,1,Training,2.786
NJMH,Training,1,Training,2.818
NJMH,Training,1,Training,2.849
NJMH,Training,1,Training,2.880
NJMH,Training,1,Training,2.912
NJMH,Training,1,Training,2.943
NJMH,Training,1,Training,2.974
NJMH,Training,1,Training,3.6
NJMH,Training,1,Training,3.53
NJMH,Training,1,Training,3.84
NJMH,Training,1,Training,3.115
NJMH,Training,1,Training,3.147
NJMH,Training,1,Training,3.178
NJMH,Training,1,Training,3.209
NJMH,Training,1,Training,3.240
NJMH,Training,1,Training,3.272
NJMH,Training,1,Training,3.303
NJMH,Training,1,Training,3.335
NJMH,Training,1,Training,3.382
NJMH,Training,1,Training,3.413
NJMH,Training,1,Training,3.444
NJMH,Training,1,Training,3.476
NJMH,Training,1,Training,3.507
NJMH,Training,1,Training,3.539
NJMH,Training,1,Training,3.570
NJMH,Training,1,Training,3.602
NJMH,Training,1,Training,3.633
NJMH,Training,1,Training,3.665
NJMH,Training,1,Training,3.712
NJMH,Training,1,Training,3.743
NJMH,Training,1,Training,3.775
NJMH,Training,1,Training,3.806
NJMH,Training,1,Training,3.837
NJMH,Training,1,Training,3.869
NJMH,Training,1,Training,3.900
NJMH,Training,1,Training,3.931
NJMH,Training,1,Training,3.963
NJMH,Training,1,Training,3.994
NJMH,Training,1,Training,4.41
NJMH,Training,1,Training,4.73
NJMH,Training,1,Training,4.104
NJMH,Training,1,Training,4.136
NJMH,Training,1,Training,4.167
NJMH,Training,1,Training,4.199
NJMH,Training,1,Training,4.230
NJMH,Training,1,Training,4.262
NJMH,Training,1,Training,4.293
NJMH,Training,1,Training,4.324
