Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
NJMH,Pico,10,Peak,39.215
NJMH,Pico,10,Peak,55.262
NJMH,Pico,10,Peak,55.510
NJMH,Pico,10,Peak,55.742
NJMH,Pico,10,Peak,56.30
NJMH,Pico,10,Peak,56.270
NJMH,Pico,11,Peak,8.766
NJMH,Pico,11,Peak,8.949
NJMH,Pico,11,Peak,9.214
NJMH,Pico,11,Peak,9.469
NJMH,Pico,11,Peak,9.765
NJMH,Pico,11,Wait,19.254
NJMH,Pico,12,Peak,7.475
NJMH,Pico,12,Peak,7.739
NJMH,Pico,12,Peak,7.995
NJMH,Pico,12,Peak,8.275
NJMH,Pico,12,Peak,8.619
NJMH,Pico,12,Peak,9.123
NJMH,Pico,12,Peak,9.659
NJMH,Pico,12,Wait,25.171
NJMH,Pico,13,Peak,3.758
NJMH,Pico,13,Peak,4.61
NJMH,Pico,13,Peak,4.374
NJMH,Pico,13,Peak,4.702
NJMH,Pico,13,Peak,5.29
NJMH,Pico,14,Peak,5.806
NJMH,Pico,14,Peak,6.102
NJMH,Pico,14,Peak,6.414
NJMH,Pico,14,Peak,6.734
NJMH,Pico,14,Peak,6.998
NJMH,Pico,15,Peak,6.436
NJMH,Pico,15,Peak,6.667
NJMH,Pico,15,Peak,6.828
NJMH,Pico,15,Peak,7.3
NJMH,Pico,15,Peak,7.284
NJMH,Pico,16,Peak,1.275
NJMH,Pico,16,Peak,1.771
NJMH,Pico,16,Peak,1.987
NJMH,Pico,16,Peak,2.356
NJMH,Pico,16,Peak,2.724
NJMH,Pico,16,Wait,13.620
NJMH,Pico,16,Wait,13.771
NJMH,Pico,16,Wait,13.931
NJMH,Pico,16,Wait,14.84
NJMH,Pico,16,Wait,14.251
NJMH,Pico,16,Wait,14.435
NJMH,Pico,17,Training,0.894
NJMH,Pico,17,Training,1.61
NJMH,Pico,17,Training,1.222
NJMH,Pico,17,Training,1.390
NJMH,Pico,17,Training,1.575
NJMH,Pico,17,Training,1.766
NJMH,Pico,17,Training,1.966
NJMH,Pico,17,Training,2.134
NJMH,Pico,17,Training,7.94
NJMH,Pico,17,Training,7.470
NJMH,Pico,17,Training,7.950
NJMH,Pico,17,Training,8.382
NJMH,Pico,17,Training,8.822
NJMH,Pico,18,Training,2.827
NJMH,Pico,18,Training,3.100
NJMH,Pico,18,Training,3.387
NJMH,Pico,18,Training,3.687
NJMH,Pico,18,Training,4.60
NJMH,Pico,20,Peak,15.525
NJMH,Pico,20,Peak,15.774
NJMH,Pico,20,Peak,16.14
NJMH,Pico,20,Peak,16.278
NJMH,Pico,20,Peak,16.518
NJMH,Pico,21,Training,6.334
NJMH,Pico,21,Training,6.510
NJMH,Pico,21,Training,6.766
NJMH,Pico,21,Training,7.6
NJMH,Pico,21,Training,7.222
NJMH,Pico,21,Training,9.230
NJMH,Pico,21,Training,9.462
NJMH,Pico,21,Training,9.678
NJMH,Pico,21,Training,9.910
NJMH,Pico,21,Training,10.166
NJMH,Pico,22,Peak,3.870
NJMH,Pico,22,Peak,4.150
NJMH,Pico,22,Peak,4.374
NJMH,Pico,22,Peak,4.638
NJMH,Pico,22,Peak,4.886
NJMH,Pico,23,Peak,3.814
NJMH,Pico,23,Peak,4.141
NJMH,Pico,23,Peak,4.486
