Nombre,Sesión,Ensayo,TipoEnsayo,Tiempo
SGEM,Pico,10,Peak,14.845
SGEM,Pico,10,Peak,15.36
SGEM,Pico,10,Peak,17.301
SGEM,Pico,10,Peak,17.508
SGEM,Pico,10,Peak,17.716
SGEM,Pico,10,Peak,17.892
SGEM,Pico,11,Peak,8.413
SGEM,Pico,11,Peak,8.605
SGEM,Pico,11,Peak,8.765
SGEM,Pico,11,Peak,8.949
SGEM,Pico,11,Peak,9.836
SGEM,Pico,11,Peak,10.28
SGEM,Pico,11,Peak,10.324
SGEM,Pico,13,Peak,13.28
SGEM,Pico,13,Peak,13.228
SGEM,Pico,13,Peak,13.436
SGEM,Pico,13,Peak,13.629
SGEM,Pico,13,Peak,13.812
SGEM,Pico,15,Peak,11.13
SGEM,Pico,15,Peak,11.204
SGEM,Pico,15,Peak,11.421
SGEM,Pico,15,Peak,11.621
SGEM,Pico,15,Peak,12.653
SGEM,Pico,15,Peak,12.853
SGEM,Pico,15,Peak,13.69
SGEM,Pico,16,Peak,15.742
SGEM,Pico,16,Peak,15.949
SGEM,Pico,16,Peak,16.118
SGEM,Pico,16,Peak,16.277
SGEM,Pico,16,Peak,16.470
SGEM,Pico,16,Peak,16.685
SGEM,Pico,18,Peak,14.333
SGEM,Pico,18,Peak,14.532
SGEM,Pico,18,Peak,14.724
SGEM,Pico,18,Peak,14.885
SGEM,Pico,18,Peak,15.44
SGEM,Pico,20,Peak,9.980
SGEM,Pico,20,Peak,10.180
SGEM,Pico,20,Peak,10.348
SGEM,Pico,20,Peak,10.508
SGEM,Pico,20,Peak,11.356
SGEM,Pico,20,Peak,11.532
SGEM,Pico,22,Peak,10.165
SGEM,Pico,22,Peak,10.372
SGEM,Pico,22,Peak,10.573
SGEM,Pico,22,Peak,10.717
SGEM,Pico,22,Peak,10.900
SGEM,Pico,23,Peak,10.597
SGEM,Pico,23,Peak,10.812
SGEM,Pico,23,Peak,10.997
SGEM,Pico,23,Peak,11.156
SGEM,Pico,23,Peak,11.844
